model,weighting,domain1,domain2,similarity
ai-forever/sbert_large_nlu_ru,A_unweighted,cs.CR,cs.LG,0.9998008012771606
ai-forever/sbert_large_nlu_ru,A_unweighted,cs.CR,physics.chem-ph,0.9986821413040161
ai-forever/sbert_large_nlu_ru,A_unweighted,cs.CR,q-bio,0.9991101026535034
ai-forever/sbert_large_nlu_ru,A_unweighted,cs.LG,physics.chem-ph,0.9991257190704346
ai-forever/sbert_large_nlu_ru,A_unweighted,cs.LG,q-bio,0.9995118379592896
ai-forever/sbert_large_nlu_ru,A_unweighted,physics.chem-ph,q-bio,0.9993581175804138
ai-forever/sbert_large_nlu_ru,B_frequency,cs.CR,cs.LG,0.9997681890810663
ai-forever/sbert_large_nlu_ru,B_frequency,cs.CR,physics.chem-ph,0.9986792260699255
ai-forever/sbert_large_nlu_ru,B_frequency,cs.CR,q-bio,0.9987534210828815
ai-forever/sbert_large_nlu_ru,B_frequency,cs.LG,physics.chem-ph,0.9990426861266812
ai-forever/sbert_large_nlu_ru,B_frequency,cs.LG,q-bio,0.9992156384482067
ai-forever/sbert_large_nlu_ru,B_frequency,physics.chem-ph,q-bio,0.9994207174334275
ai-forever/sbert_large_nlu_ru,C_tfidf,cs.CR,cs.LG,0.9997469341312833
ai-forever/sbert_large_nlu_ru,C_tfidf,cs.CR,physics.chem-ph,0.9986837080672465
ai-forever/sbert_large_nlu_ru,C_tfidf,cs.CR,q-bio,0.9988027359712808
ai-forever/sbert_large_nlu_ru,C_tfidf,cs.LG,physics.chem-ph,0.9990986819630838
ai-forever/sbert_large_nlu_ru,C_tfidf,cs.LG,q-bio,0.999280834596914
ai-forever/sbert_large_nlu_ru,C_tfidf,physics.chem-ph,q-bio,0.9994769706917319
sentence-transformers/all-mpnet-base-v2,A_unweighted,cs.CR,cs.LG,0.9896798133850098
sentence-transformers/all-mpnet-base-v2,A_unweighted,cs.CR,physics.chem-ph,0.9594646692276001
sentence-transformers/all-mpnet-base-v2,A_unweighted,cs.CR,q-bio,0.9598371386528015
sentence-transformers/all-mpnet-base-v2,A_unweighted,cs.LG,physics.chem-ph,0.9732886552810669
sentence-transformers/all-mpnet-base-v2,A_unweighted,cs.LG,q-bio,0.972835123538971
sentence-transformers/all-mpnet-base-v2,A_unweighted,physics.chem-ph,q-bio,0.9825252890586853
sentence-transformers/all-mpnet-base-v2,B_frequency,cs.CR,cs.LG,0.9888530265973783
sentence-transformers/all-mpnet-base-v2,B_frequency,cs.CR,physics.chem-ph,0.9617907726058297
sentence-transformers/all-mpnet-base-v2,B_frequency,cs.CR,q-bio,0.9593720112787067
sentence-transformers/all-mpnet-base-v2,B_frequency,cs.LG,physics.chem-ph,0.9740799665792241
sentence-transformers/all-mpnet-base-v2,B_frequency,cs.LG,q-bio,0.9708420710810999
sentence-transformers/all-mpnet-base-v2,B_frequency,physics.chem-ph,q-bio,0.9820648178584506
sentence-transformers/all-mpnet-base-v2,C_tfidf,cs.CR,cs.LG,0.9870673929646184
sentence-transformers/all-mpnet-base-v2,C_tfidf,cs.CR,physics.chem-ph,0.9547961485146307
sentence-transformers/all-mpnet-base-v2,C_tfidf,cs.CR,q-bio,0.9543383351913014
sentence-transformers/all-mpnet-base-v2,C_tfidf,cs.LG,physics.chem-ph,0.9704001349756853
sentence-transformers/all-mpnet-base-v2,C_tfidf,cs.LG,q-bio,0.9695087676746409
sentence-transformers/all-mpnet-base-v2,C_tfidf,physics.chem-ph,q-bio,0.9786702317802602
