model,model_name,variant,domain_a,domain_b,similarity
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_unweighted,cs.CR,cs.LG,0.9997665882110596
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_unweighted,cs.CR,physics.chem-ph,0.9985367655754089
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_unweighted,cs.CR,q-bio,0.9991078972816467
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_unweighted,cs.LG,physics.chem-ph,0.9990049004554749
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_unweighted,cs.LG,q-bio,0.9995198249816895
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_unweighted,physics.chem-ph,q-bio,0.9991574883460999
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_domain_idf,cs.CR,cs.LG,0.9996230526481353
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_domain_idf,cs.CR,physics.chem-ph,0.9977164023914256
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_domain_idf,cs.CR,q-bio,0.9986999703447412
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_domain_idf,cs.LG,physics.chem-ph,0.9984844078018249
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_domain_idf,cs.LG,q-bio,0.999313712417154
ru_sbert,ai-forever/sbert_large_nlu_ru,lemma_metatext_domain_idf,physics.chem-ph,q-bio,0.9989466354965773
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_unweighted,cs.CR,cs.LG,0.988317608833313
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_unweighted,cs.CR,physics.chem-ph,0.9547796249389648
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_unweighted,cs.CR,q-bio,0.9610247015953064
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_unweighted,cs.LG,physics.chem-ph,0.9686844348907471
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_unweighted,cs.LG,q-bio,0.9730591177940369
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_unweighted,physics.chem-ph,q-bio,0.9807660579681396
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_domain_idf,cs.CR,cs.LG,0.9804624402006259
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_domain_idf,cs.CR,physics.chem-ph,0.9283374859387449
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_domain_idf,cs.CR,q-bio,0.9398970650339802
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_domain_idf,cs.LG,physics.chem-ph,0.9487167666841306
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_domain_idf,cs.LG,q-bio,0.957366906287478
en_mpnet,sentence-transformers/all-mpnet-base-v2,lemma_metatext_domain_idf,physics.chem-ph,q-bio,0.9691682937386532
